Accounting,المحاسبة
Erpgenex Realestate Sales,التسويق العقاري
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
ERPGENEX — Dashboard,ERPGENEX — لوحة المعلومات
Escalation Rule,قاعدة تصعيد الإيجار
Event,حدث
Example: count.Customer == 0,بند واجهة
"Examples: /app/customer, Customer, General Ledger",بند واجهة
Executive Dashboard,لوحة المدير التنفيذية
Explore this workspace,استكشف مساحة العمل
Factoring,التخصيم
Field PWA,تطبيق الميدان
Filters,المرشحات
Finance Control Exceptions,استثناءات الضوابط المالية
Finance Control Violations,مخالفات الضوابط المالية
Finance Controls,الضوابط المالية
Finance Engine,محرك التمويل
Finance Group,المجموعة المالية
Finance SoD Blocks,حظر فصل المهام (SoD)
Finance Workcenter,مركز عمل المالية
Fixed Assets,الأصول الثابتة
Form,نموذج
Further,المزيد
General Ledger,دفتر الأستاذ العام
GL Account,حساب GL
Global Defaults,الإعدادات العامة
Governance,الحوكمة
Governance Code,الحوكمة الرمز
Governance Code is mandatory for enabled rules.,بند واجهة
Governance Overview,نظرة عامة على الحوكمة
Guest,زائر
Handover & defects (snagging),التسليم والعيوب
Handover Package,حزمة التسليم
Healthcare,الرعاية الصحية
Healthcare demo,بند واجهة
Help,مساعدة
high,مرتفع
High/Critical rules must be marked as Blocking.,يجب أن بند واجهة بند واجهة.
Home,الرئيسية
HR,الموارد البشرية
"If enabled, evaluate using user's default company context.",بند واجهة
"If enabled, treat as a setup blocker (shown at the top).",بند واجهة
IFRS 16 Liability,التزام الإيجار IFRS 16
In Progress,قيد التنفيذ
Industry Solutions,حلول القطاعات
Insights,رؤى وتحليلات
"Install and migrate erpgenex_legal on this site, then reload the Branch form.",بند واجهة
"Install and migrate omnexa_education on this site, then reload the Branch form.",بند واجهة
"Install and migrate omnexa_healthcare on this site, then reload the Branch form.",بند واجهة
Inventory & development context,المخزون وسياق التطوير
Inventory KPI Dashboard,لوحة مؤشرات المخزون
Inventory KPIs,مؤشرات المخزون
Inventory Low Stock Items,أصناف منخفضة المخزون
Inventory Reorder Needed,أصناف تحتاج إعادة طلب
Inventory Stock Items,أصناف المخزون
Item,الصنف
Journal Entry,قيد يومية
Land & project charter,الأرض وميثاق المشروع
Land Parcel,قطعة أرض
Language,اللغة
Last Month,الشهر الماضي
Last Week,الأسبوع الماضي
Lead acquisition & qualification,اكتساب العملاء وتأهيلهم
Leasing & occupancy (IFRS 16 / IPSAS rent),التأجير والإشغال (IFRS 16 / IPSAS)
Leasing Finance,التمويل التأجيري
Leasing Mandate,تفويض تأجير
Legal demo,بند واجهة
List,قائمة
Login,تسجيل الدخول
Logout,تسجيل الخروج
low,منخفض
Maintenance — service requests,الصيانة — طلبات الخدمة
Management Agreement,اتفاقية إدارة
Manufacturing,التصنيع
medium,متوسط
Menu,القائمة
Message,رسالة
Modified,تاريخ التعديل
Module/Domain,بند واجهة
More,المزيد
Mortgage Finance,التمويل العقاري
My work,عملي
Name,الاسم
New,جديد
None,لا شيء
Not permitted,بند واجهة
Notifications,الإشعارات
Number Card,بطاقة رقمية
Occupancy,الإشغال
Omnexa Accounting Settings,إعدادات محاسبة Omnexa
Omnexa Marketplace Settings,إعدادات سوق Omnexa
Omnexa Purchase Settings,إعدادات مشتريات Omnexa
Omnexa Sales Settings,إعدادات مبيعات Omnexa
Omnexa Settings,إعدادات Omnexa
Omnexa Setup Intelligence Activity Register,سجل Omnexa — بند واجهة
Omnexa Setup Intelligence Compliance Snapshot,Omnexa — بند واجهة
Omnexa Setup Intelligence Document Summary,ملخص Omnexa — بند واجهة
Omnexa Setup Intelligence Status Overview,Omnexa — بند واجهة
Omnexa Stock Settings,إعدادات مخزون Omnexa
Open,مفتوح
Open report Compliance Exceptions Dashboard,فتح تقرير لوحة استثناءات الامتثال
Operating Scenarios,سيناريوهات التشغيل
Operational Risk,المخاطر التشغيلية
Optional grouping hint (Sales / Inventory / Accounts / Projects / HR).,بند واجهة / بند واجهة / بند واجهة / بند واجهة / الموارد البشرية).
Order,أمر
Other,أخرى
Overdue,متأخر
Overview,نظرة عامة
Owner,المالك
Owner reporting & trust accounting,تقارير الملاك والحسابات الائتمانية
Owner Statement,كشف حساب المالك
Ownership,بند واجهة
Payment Entry,سند قبض/صرف
Payment Plan Item,بند خطة السداد
Pending,قيد الانتظار
Permit Milestone,معلم التصريح
Platform & Administration,المنصة والإدارة
PMC Lease Liability Schedule,جدول التزام الإيجار IFRS 16
PMC Leasing Mandate,تفويض تأجير
PMC Management Agreement,اتفاقية إدارة
PMC Management Fee Summary,ملخص رسوم الإدارة
PMC Occupancy Summary,ملخص الإشغال
PMC Owner Statement,كشف حساب المالك
PMC Owner Statement Register,سجل كشوف الملاك
PMC Property,عقار
PMC Property Unit,وحدة عقارية
PMC Rent Aging,أعمار الإيجارات
PMC Rent Billing Register,سجل فوترة الإيجار
PMC Rent Roll,سجل الإيجارات
PMC Rental Contract Register,سجل عقود الإيجار
Policy,سياسة
Portfolio & asset registry,المحفظة وسجل الأصول
Posting,ترحيل
Profile,الملف الشخصي
Profit and Loss,الأرباح والخسائر
Project EV,القيمة المكتسبة للمشروع
Projects & Services,المشاريع والخدمات
Projects PM,إدارة المشاريع
Property,عقار
Property Management,إدارة العقارات
Property Sales Booking Register,سجل حجوزات البيع
Property Sales Lead,عميل مبيعات عقارية
Purchase Invoice,فاتورة شراء
Purchase Register,سجل المشتريات
RE BOQ,جدول كميات التطوير
RE Development,التطوير العقاري
RE Handover Package,حزمة التسليم
RE Marketing,التسويق العقاري
RE Permit Milestone,معلم التصريح
RE Project EV,القيمة المكتسبة للمشروع
RE Subcontract Commitment,التزام مقاول باطن
RE Unit Inventory,مخزون وحدات التطوير
RE unit inventory (sales),مخزون وحدات البيع
RE Unit Inventory Overview,نظرة عامة على مخزون الوحدات
Real Estate,العقارات
Refresh,تحديث
Reload,إعادة تحميل
Rent Aging,أعمار الإيجارات
Rent billing register,سجل فوترة الإيجار
Rent Billing Run,تشغيل فوترة الإيجار
Rent Roll,سجل الإيجارات
Rental Contract,عقد إيجار
Rental contract register,سجل عقود الإيجار
Report,تقرير
report,تقرير
Reservation register,سجل الحجوزات
Reservations & unit holds,الحجوزات وحجز الوحدات
Restaurant,المطاعم
"Return here for shortcuts, charts, and lists for **Audit & Compliance**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **التدقيق والامتثال**.
"Return here for shortcuts, charts, and lists for **Core ERP**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **ERP الأساسي**.
route,بند واجهة
Rule,قاعدة
Rule Owner,قاعدة المالك
Sales Booking,حجز بيع
Sales booking register,سجل حجوزات البيع
Sales Commission Accrual,استحقاق عمولات المبيعات
Sales Commission Schedule,جدول عمولات المبيعات
Sales Invoice,فاتورة مبيعات
Sales Lead,عميل محتمل
Sales Portal,بوابة المبيعات
Sales Register,سجل المبيعات
Save,حفظ
Search or type a command,ابحث أو اكتب أمرًا
Search or type a command ({0}),ابحث أو اكتب أمرًا ({0})
Sell,المبيعات
Services,الخدمات
Settings,الإعدادات
settings,الإعدادات
Setup Intelligence Rule,بند واجهة
Setup Intelligence Rule Register,سجل بند واجهة
Severity,الشدة
Shortcut,اختصار
SME Microfinance,التمويل متناهي الصغر
SME Retail Finance,تمويل المنشآت والتجزئة
Stock,المخزون
Subcontract,مقاول باطن
Submit,إرسال
Supplier,المورد
Supporting Attachment,مرفق داعم
System Manager,مدير النظام
Task List,قائمة المهام
This Month,هذا الشهر
This Week,هذا الأسبوع
Timezone,المنطقة الزمنية
Title,العنوان
Today,اليوم
ToDo,مهمة
Tourism,السياحة
Trading,التجارة
Trading & Manufacturing,التجارة والتصنيع
Trial Balance,ميزان المراجعة
Unit,وحدة
Unit Inventory,مخزون الوحدات
Unit inventory & sales readiness,مخزون الوحدات وجاهزية البيع
Unit inventory overview,نظرة عامة على مخزون الوحدات
Unit Reservation,حجز وحدة
Unit Reservation Register,سجل حجز الوحدات
Unknown branch demo action: {0},بند واجهة
Update,تحديث
Vehicle Finance,تمويل المركبات
Warehouse,المستودع
Workflow State,حالة سير العمل
Workspace,مساحة العمل
Workspaces,مساحات العمل
Yesterday,أمس
You are ready to work in Core ERP.,أنت جاهز للعمل في ERP الأساسي.
✅ Handover,✅ التسليم
🎯 CRM,🎯 إدارة العملاء
🏗️ Projects,🏗️ المشاريع
🏢 Organization,🏢 التنظيم والإعداد
🏢 Organization & Setup,🏢 التنظيم والإعداد
🏢 Portfolio,🏢 المحفظة العقارية
👥 HR & Users,👥 الموارد البشرية والمستخدمون
💰 Billing · Finance · ERP,💰 الفوترة · المالية · ERP
💰 Commissions,💰 العمولات
💰 Finance & ERP,💰 المالية · ERP
💰 Owner & CAM,💰 المالك والمصاريف المشتركة
📈 Reports,📈 التقارير
📊 Analytics,📊 التحليلات
📊 Dashboards,📊 لوحات المعلومات
📊 Dashboards & Portals,📊 لوحات المعلومات والبوابات
📊 Dashboards & portals,📊 لوحات المعلومات والبوابات
📋 Commercial,📋 التجاري
📋 Leasing,📋 التأجير
📋 Operations,📋 العمليات
📐 BOQ & inventory,📐 جدول الكميات والمخزون
📦 Inventory & Supply,📦 المخزون والتوريد
🔗 Integration,🔗 التكامل
🚚 Field operations,🚚 العمليات الميدانية
🛡️ Compliance,🛡️ الامتثال
